"","Patch","Plant_ID","Bract","Treatment","Pollen_Donor","Poll_Date","Poll_Time","Coll_Date","Coll_Time","Damage","Out","Notes"
"48","K1",780,3,"ND-Far",760,2024-05-04,1899-12-30 09:16:00,2024-05-07,1899-12-30 02:35:00,0,7,""
"49","K1",780,5,"ND-NN",730,2024-05-06,1899-12-30 09:18:00,2024-05-07,1899-12-30 02:36:00,2,4,""
"50","K1",780,7,"ND-Far",772,2024-05-06,1899-12-30 09:24:00,2024-05-07,1899-12-30 02:38:00,1,2,""
"51","K1",781,2,"ND-S",781,2024-05-06,1899-12-30 09:30:00,2024-05-07,1899-12-30 02:39:00,0,5,""
"52","K1",781,3,"HPO",773,2024-05-06,1899-12-30 09:33:00,2024-05-07,1899-12-30 02:40:00,0,7,""
"53","K1",782,2,"HPO",772,2024-05-06,1899-12-30 09:38:00,2024-05-07,1899-12-30 02:43:00,0,7,""
"54","K1",782,5,"Polish",NA,2024-05-06,1899-12-30 09:40:00,2024-05-07,NA,NA,3,""
"55","K1",783,1,"Polish",NA,2024-05-06,1899-12-30 09:43:00,2024-05-07,NA,NA,7,""
"56","K1",783,1,"Polish",NA,2024-05-06,1899-12-30 09:46:00,2024-05-07,NA,NA,7,""
"57","K1",784,2,"Polish",NA,2024-05-06,1899-12-30 09:51:00,2024-05-07,NA,NA,7,""
"58","K1",784,3,"Polish",NA,2024-05-06,1899-12-30 09:55:00,2024-05-07,NA,NA,6,""
"59","K1",786,1,"ND-Far",760,2024-05-06,1899-12-30 10:02:00,2024-05-07,1899-12-30 02:44:00,0,2,""
"60","K1",786,3,"Polish",NA,2024-05-06,1899-12-30 10:08:00,2024-05-07,NA,NA,0,""
"61","K1",787,5,"ND-S",787,2024-05-06,1899-12-30 10:10:00,2024-05-07,1899-12-30 02:45:00,0,4,""
"62","K1",788,4,"ND-NN",737,2024-05-06,1899-12-30 10:14:00,2024-05-07,1899-12-30 02:45:00,0,5,""
"63","K1",788,6,"ND-Far",760,2024-05-06,1899-12-30 10:18:00,2024-05-07,1899-12-30 02:46:00,0,2,""
"64","K1",788,7,"Polish",NA,2024-05-06,1899-12-30 10:23:00,2024-05-07,NA,NA,0,""
"65","K1",789,4,"Polish",NA,2024-05-06,1899-12-30 10:26:00,2024-05-07,NA,NA,5,""
"66","K2",790,1,"Polish",NA,2024-05-06,1899-12-30 10:33:00,2024-05-07,NA,NA,0,""
"67","K1",791,1,"ND-S",791,2024-05-06,1899-12-30 10:39:00,2024-05-07,1899-12-30 02:50:00,0,7,""
"68","K1",791,2,"ND-NN",736,2024-05-06,1899-12-30 10:41:00,2024-05-07,1899-12-30 02:50:00,0,6,""
"69","K1",791,4,"NE",773,2024-05-06,1899-12-30 10:45:00,2024-05-07,1899-12-30 02:51:00,0,3,""
"70","K1",792,1,"NE",760,2024-05-06,1899-12-30 11:00:00,2024-05-07,1899-12-30 02:51:00,0,2,""
"71","K1",783,5,"HPO",773,2024-05-07,1899-12-30 08:45:00,2024-05-08,1899-12-30 03:26:00,0,1,""
"72","K1",785,3,"ND-NN",736,2024-05-07,1899-12-30 08:52:00,2024-05-08,1899-12-30 03:28:00,0,6,""
"73","K1",785,6,"ND-S",785,2024-05-07,1899-12-30 08:58:00,2024-05-08,1899-12-30 03:30:00,0,4,""
"74","K1",786,4,"HPO",760,2024-05-07,1899-12-30 09:02:00,2024-05-08,1899-12-30 03:31:00,0,0,""
"75","K1",789,3,"HPO",760,2024-05-07,1899-12-30 09:09:00,2024-05-08,1899-12-30 03:33:00,0,6,""
"76","K2",790,1,"ND-Far",760,2024-05-07,1899-12-30 09:14:00,2024-05-08,1899-12-30 03:35:00,0,0,""
"77","K1",781,5,"ND-NN",730,2024-05-08,1899-12-30 08:59:00,2024-05-09,1899-12-30 03:10:00,0,4,""
"78","K1",782,2,"HPO",772,2024-05-08,1899-12-30 09:12:00,2024-05-09,1899-12-30 03:13:00,0,7,""
"79","K1",782,5,"NE",772,2024-05-08,1899-12-30 09:15:00,2024-05-09,1899-12-30 03:14:00,0,3,""
"80","K1",783,1,"ND-Far",760,2024-05-08,1899-12-30 09:21:00,2024-05-09,1899-12-30 03:16:00,0,1,""
"81","K1",784,2,"ND-NN",737,2024-05-08,1899-12-30 09:28:00,2024-05-09,1899-12-30 03:18:00,0,7,""
"82","K1",784,3,"ND-S",784,2024-05-08,1899-12-30 09:30:00,2024-05-09,1899-12-30 03:22:00,1,6,""
"83","K1",785,4,"NE",760,2024-05-08,1899-12-30 09:39:00,2024-05-09,1899-12-30 03:25:00,1,6,""
"84","K1",786,3,"NE",760,2024-05-08,1899-12-30 09:50:00,2024-05-09,1899-12-30 03:27:00,0,0,""
"85","K1",787,4,"ND-Far",760,2024-05-08,1899-12-30 09:56:00,2024-05-09,1899-12-30 03:30:00,0,5,""
"86","K1",787,6,"ND-NN",736,2024-05-08,1899-12-30 09:56:00,2024-05-09,1899-12-30 03:31:00,0,2,""
"87","K1",788,4,"ND-NN",737,2024-05-08,1899-12-30 10:09:00,2024-05-09,1899-12-30 03:35:00,0,4,""
"88","K1",789,4,"NE",760,2024-05-08,1899-12-30 10:18:00,2024-05-09,1899-12-30 03:40:00,0,5,""
"89","K1",791,2,"ND-NN",736,2024-05-08,1899-12-30 10:42:00,2024-05-09,1899-12-30 03:42:00,0,6,""
"90","K1",792,4,"ND-Far",760,2024-05-08,1899-12-30 10:52:00,2024-05-09,1899-12-30 03:43:00,0,0,""
"91","K1",780,5,"ND-NN",730,2024-05-09,1899-12-30 08:01:00,2024-05-10,1899-12-30 03:10:00,0,4,""
"92","K1",780,7,"ND-Far",772,2024-05-09,1899-12-30 08:07:00,2024-05-10,1899-12-30 03:12:00,0,2,""
"93","K1",783,4,"NE",773,2024-05-09,1899-12-30 08:19:00,2024-05-10,1899-12-30 03:16:00,0,3,""
"94","K1",786,1,"ND-Far",760,2024-05-09,1899-12-30 08:27:00,2024-05-10,1899-12-30 03:20:00,0,2,""
