"","Patch","Plant_ID","Bract","Treatment","Pollen_Donor","Poll_Date","Poll_Time","Coll_Date","Coll_Time","Damage","Out","Notes"
"216","K1",796,6,"ND-NN",778,2024-05-28,1899-12-30 08:39:00,2024-05-29,1899-12-30 03:10:00,0,1,""
"217","K1",776,3,"HPO",762,2024-05-28,1899-12-30 08:46:00,2024-05-29,1899-12-30 03:15:00,0,0,"Flor comida por insecto."
"218","K1",777,2,"ND-S",777,2024-05-28,1899-12-30 08:56:00,2024-05-29,1899-12-30 03:20:00,0,5,""
"219","K1",777,6,"ND-Far",762,2024-05-28,1899-12-30 09:10:00,2024-05-29,1899-12-30 03:21:00,0,3,""
"220","K2",778,1,"NE",762,2024-05-28,1899-12-30 09:13:00,2024-05-29,1899-12-30 03:23:00,0,4,""
"221","K2",778,4,"SD",762,2024-05-28,1899-12-30 09:16:00,2024-05-29,1899-12-30 03:25:00,0,3,""
"222","K2",778,5,"ND-S",778,2024-05-28,1899-12-30 09:20:00,2024-05-29,1899-12-30 03:30:00,0,0,""
"223","K1",793,1,"NE",762,2024-05-29,1899-12-30 08:30:00,2024-05-30,1899-12-30 04:03:00,0,6,""
"224","K1",794,1,"NE",762,2024-05-29,1899-12-30 08:36:00,2024-05-30,1899-12-30 04:06:00,1,1,""
"225","K1",795,6,"SD",762,2024-05-29,1899-12-30 08:45:00,2024-05-30,1899-12-30 04:10:00,0,1,""
"226","K1",796,2,"ND-S",796,2024-05-29,1899-12-30 08:57:00,2024-05-30,1899-12-30 04:12:00,0,1,""
"227","K1",796,5,"SD",762,2024-05-29,1899-12-30 09:00:00,2024-05-30,1899-12-30 04:15:00,0,0,""
"228","K1",775,5,"SD",762,2024-05-29,1899-12-30 09:15:00,2024-05-30,1899-12-30 04:16:00,0,0,""
"229","K2",779,4,"ND-Far",762,2024-05-29,1899-12-30 09:30:00,2024-05-30,1899-12-30 04:20:00,0,3,"Comido por insecto."
"230","K1",793,3,"ND-S",793,2024-05-30,1899-12-30 09:00:00,2024-05-31,1899-12-30 04:12:00,0,5,""
"231","K1",793,4,"SD",762,2024-05-30,1899-12-30 09:04:00,2024-05-31,1899-12-30 04:13:00,0,5,""
"232","K1",795,5,"NE",762,2024-05-30,1899-12-30 09:10:00,2024-05-31,1899-12-30 04:15:00,0,2,""
"233","K1",796,3,"NE",762,2024-05-30,1899-12-30 09:15:00,2024-05-31,1899-12-30 04:16:00,0,1,""
"234","K1",796,4,"ND-Far",762,2024-05-30,1899-12-30 09:16:00,2024-05-31,1899-12-30 04:17:00,0,0,""
"235","K2",797,4,"ND-S",797,2024-05-30,1899-12-30 09:18:00,2024-05-31,1899-12-30 04:18:00,1,9,""
"236","K2",797,6,"SD",762,2024-05-30,1899-12-30 09:20:00,2024-05-31,1899-12-30 04:19:00,0,8,""
"237","K2",797,7,"HPO",762,2024-05-30,1899-12-30 09:30:00,2024-05-31,1899-12-30 04:20:00,0,7,""
"238","K1",775,3,"HPO",762,2024-05-30,1899-12-30 09:40:00,2024-05-31,1899-12-30 04:23:00,0,2,""
"239","K1",776,2,"NE",762,2024-05-30,1899-12-30 09:50:00,2024-05-31,1899-12-30 04:25:00,0,1,""
"240","K1",777,2,"ND-S",777,2024-05-30,1899-12-30 10:00:00,2024-05-31,1899-12-30 04:26:00,0,5,""
"241","K1",777,7,"SD",762,2024-05-30,1899-12-30 10:05:00,2024-05-31,1899-12-30 04:30:00,0,2,""
"242","K1",794,1,"NE",762,2024-05-31,1899-12-30 09:06:00,2024-05-01,1899-12-30 03:10:00,0,1,""
"243","K1",794,3,"SD",762,2024-05-31,1899-12-30 09:08:00,2024-05-01,1899-12-30 03:12:00,0,1,""
"244","K1",796,6,"ND-NN",778,2024-05-31,1899-12-30 09:15:00,2024-05-01,1899-12-30 03:16:00,0,1,""
"245","K1",776,3,"HPO",762,2024-05-31,1899-12-30 09:30:00,2024-05-01,1899-12-30 03:20:00,0,0,""
"246","K1",777,6,"ND-Far",762,2024-05-31,1899-12-30 09:35:00,2024-05-01,1899-12-30 03:22:00,0,3,""
"247","K2",778,1,"NE",762,2024-05-31,1899-12-30 09:55:00,2024-05-01,1899-12-30 03:24:00,0,4,""
"248","K2",779,2,"SD",762,2024-05-31,1899-12-30 10:05:00,2024-05-01,1899-12-30 03:25:00,0,6,""
"249","K1",501,2,"ND-Far",762,2024-05-31,1899-12-30 10:20:00,2024-05-01,1899-12-30 03:26:00,0,0,""
"250","K1",793,1,"NE",762,2024-06-01,1899-12-30 09:10:00,2024-06-03,1899-12-30 04:10:00,0,6,"Mucha lluvia la colectar las muestras"
"251","K1",793,4,"SD",762,2024-06-01,1899-12-30 09:15:00,2024-06-03,1899-12-30 04:15:00,0,3,"No colecte open flowers por fuerte lluvia."
"252","K1",795,6,"SD",762,2024-06-01,1899-12-30 09:20:00,2024-06-03,1899-12-30 04:17:00,0,2,""
"253","K1",796,2,"ND-S",796,2024-06-01,1899-12-30 09:24:00,2024-06-03,1899-12-30 04:18:00,0,1,""
"254","K1",796,3,"NE",762,2024-06-01,1899-12-30 09:28:00,2024-06-03,1899-12-30 04:19:00,0,1,""
"255","K1",796,5,"SD",762,2024-06-01,1899-12-30 09:40:00,2024-06-03,1899-12-30 04:20:00,0,0,""
"256","K1",775,5,"SD",762,2024-06-01,1899-12-30 09:50:00,2024-06-03,1899-12-30 04:22:00,0,0,""
"257","K2",779,4,"ND-Far",762,2024-06-01,1899-12-30 10:00:00,2024-06-03,1899-12-30 04:26:00,0,3,""
"258","K1",793,3,"Polish",NA,2024-06-03,1899-12-30 08:45:00,2024-06-04,NA,NA,1,""
"259","K1",796,4,"ND-Far",762,2024-06-03,1899-12-30 08:55:00,2024-06-04,1899-12-30 04:16:00,2,0,""
"260","K2",797,4,"ND-S",797,2024-06-03,1899-12-30 09:10:00,2024-06-04,1899-12-30 04:18:00,0,9,""
"261","K2",797,6,"SD",762,2024-06-03,1899-12-30 09:12:00,2024-06-04,1899-12-30 04:20:00,0,8,""
"262","K1",777,3,"HPO",762,2024-06-03,1899-12-30 09:15:00,2024-06-04,1899-12-30 04:22:00,0,0,""
"263","K1",777,6,"ND-Far",762,2024-06-03,1899-12-30 09:18:00,2024-06-04,1899-12-30 04:24:00,0,3,""
"264","K2",778,1,"NE",762,2024-06-03,1899-12-30 09:30:00,2024-06-04,1899-12-30 04:26:00,0,4,""
"265","K2",778,4,"Polish",NA,2024-06-03,1899-12-30 09:40:00,2024-06-04,1899-12-30 04:27:00,0,3,""
"266","K2",779,4,"ND-Far",762,2024-06-03,1899-12-30 09:50:00,2024-06-04,1899-12-30 04:30:00,0,3,"Mucha lluvia."
"267","K1",796,2,"ND-S",796,2024-06-04,1899-12-30 08:05:00,2024-06-05,1899-12-30 03:10:00,0,1,""
"268","K1",796,3,"NE",762,2024-06-04,1899-12-30 08:08:00,2024-06-05,1899-12-30 03:12:00,0,1,""
"269","K1",796,5,"SD",762,2024-06-04,1899-12-30 08:10:00,2024-06-05,1899-12-30 03:15:00,0,0,""
"270","K1",796,6,"ND-NN",778,2024-06-04,1899-12-30 08:20:00,2024-06-05,1899-12-30 03:16:00,0,1,""
"271","K1",775,5,"SD",762,2024-06-04,1899-12-30 08:50:00,2024-06-05,1899-12-30 03:18:00,0,0,""
"272","K1",501,3,"ND-NN",778,2024-06-04,1899-12-30 09:00:00,2024-06-05,1899-12-30 03:20:00,0,0,""
"273","K1",794,1,"NE",762,2024-06-05,1899-12-30 10:10:00,2024-06-06,1899-12-30 04:15:00,0,1,""
"274","K1",795,6,"SD",762,2024-06-05,1899-12-30 10:15:00,2024-06-06,1899-12-30 04:16:00,0,2,""
"275","K1",796,4,"ND-Far",762,2024-06-05,1899-12-30 10:25:00,2024-06-06,1899-12-30 04:17:00,0,0,""
"276","K2",797,4,"ND-S",797,2024-06-05,1899-12-30 10:40:00,2024-06-06,1899-12-30 04:19:00,0,9,""
"277","K1",776,2,"NE",762,2024-06-05,1899-12-30 10:50:00,2024-06-06,1899-12-30 04:20:00,0,1,""
"278","K2",778,4,"SD",762,2024-06-05,1899-12-30 11:00:00,2024-06-06,1899-12-30 04:22:00,0,3,""
"279","K2",779,2,"SD",762,2024-06-05,1899-12-30 11:05:00,2024-06-06,1899-12-30 04:24:00,0,6,""
