Patch,Plant_ID,Bract_Num,Bract_Total,Treatment,Pollen_Donor,PD_Covered,Poll_Date,Poll_Time,Coll_Date,Coll_Time,Damage,Num_Above_Tape,Style_Collected,Applier_Technique,Applier_Pollen,Killed,Closed_Date,Closed_Time,Notes
K1,737,2,9,E,766,N,2024-03-25,9:06,2024-03-26,16:39,0,,Y,Mike,Ferne,N,2024-03-28,13:46,
K2,739,5,8,E,762,Y,2024-03-25,9:28,2024-03-26,16:45,0,,Y,Mike,Ferne,N,2024-03-28,8:49,
K2,742,2,5,E,758,Y,2024-03-25,9:37,2024-03-26,16:46,0,,Y,Mike,Ferne,N,2024-03-28,8:52,
K3,749,3,4,E,769,N,2024-03-25,10:23,2024-03-26,16:54,0,0,Y,Mike,Ferne,N,2024-03-28,14:13,
K1,736,8,10,E,762,Y,2024-03-26,9:28,2024-03-28,13:43,0,3,Y,Mike,Ferne,N,2024-03-28,13:44,
K1,737,2,9,E,765,Y,2024-03-27,7:58,2024-03-28,13:47,0,,Y,Mike,Ferne,N,2024-03-28,13:46,
K3,749,3,4,E,768,N,2024-03-27,8:17,2024-03-28,14:10,0,,Y,Mike,Ferne,N,2024-03-28,14:13,
K1,732,4,7,HPO,755,Y,2024-03-15,8:20,2024-03-16,15:08,0,9,Y,Ferne,Ferne,N,2024-03-25,8:28,Pollen doesn't stick
K1,735,1,4,HPO,757,Y,2024-03-15,9:05,2024-03-16,15:13,0,3,Y,Ferne,Ferne,N,2024-03-25,8:45,
K1,736,4,7,HPO,759,Y,2024-03-15,9:25,2024-03-16,15:16,0,5,Y,Ferne,Ferne,N,2024-03-25,8:58,Plant 736 looks good! Has ripenning (fat) fruits
K1,737,5,6,HPO,755,Y,2024-03-15,9:43,2024-03-16,15:20,0,1,Y,Ferne,Ferne,N,2024-03-28,8:38,
K2,739,4,8,HPO,757,Y,2024-03-15,10:07,2024-03-16,15:25,0,24,Y,Ferne,Ferne,N,2024-03-25,9:31,
K1,733,3,4,HPO,761,Y,2024-03-16,8:53,2024-03-17,15:38,0,3,Y,Ferne,Ferne,N,2024-03-28,8:24,
K2,742,1,4,HPO,763,Y,2024-03-16,10:10,2024-03-17,15:52,0,3,Y,Ferne,Ferne,N,2024-03-25,9:39,
Mike,740,1,5,HPO,762,Y,2024-03-16,9:45,2024-03-17,15:28,0,10,Y,Ferne,Ferne,N,2024-03-25,10:32,Top of style and flower eaten
K1,732,4,7,HPO,758,Y,2024-03-18,7:58,2024-03-19,15:11,0,,Y,Ferne,Ferne,N,2024-03-25,8:28,Style coming out of flower
K1,736,4,8,HPO,762,Y,2024-03-18,8:24,2024-03-19,15:06,0,,Y,Ferne,Ferne,N,2024-03-25,8:58,
K1,737,5,7,HPO,N/A,N/A,2024-03-18,8:35,N/A,N/A,N/A,,N,Ferne,N/A,Y,2024-03-28,8:38,YFK
K2,739,4,8,HPO,759,Y,2024-03-18,8:53,2024-03-19,14:56,0.5,,Y,Ferne,Ferne,N,2024-03-25,9:31,
K3,744,2,6,HPO,762,Y,2024-03-18,9:19,2024-03-19,14:51,0,6,Y,Ferne,Ferne,N,2024-03-25,10:07,
K1,732,2,7,HPO,759,Y,2024-03-19,9:28,2024-03-20,15:37,0,3,Y,Ferne,Ferne,N,2024-03-28,8:19,Flower came off easily
K1,733,3,4,HPO,755,Y,2024-03-19,9:34,2024-03-20,15:34,0,,Y,Ferne,Ferne,N,2024-03-28,8:24,
K1,736,4,9,HPO,755,Y,2024-03-19,9:49,2024-03-20,15:31,0,,Y,Ferne,Ferne,N,2024-03-25,8:58,
K2,742,1,4,HPO,755,Y,2024-03-19,9:08,2024-03-20,15:43,0,,Y,Ferne,Ferne,N,2024-03-25,9:39,
K3,745,2,3,HPO,764,Y,2024-03-19,8:40,2024-03-20,15:48,0,1,Y,Ferne,Ferne,N,2024-03-25,10:05,
Mike,740,1,5,HPO,759,Y,2024-03-19,10:04,2024-03-20,15:26,0,,Y,Ferne,Ferne,N,2024-03-25,10:32,
K1,732,4,7,HPO,758,Y,2024-03-20,9:09,2024-03-21,16:00,0,,Y,Ferne,Ferne,N,2024-03-25,8:28,
K1,735,1,5,HPO,N/A,N/A,2024-03-20,9:15,N/A,N/A,N/A,,N,Mike,N/A,Y,2024-03-25,8:45,Flower was killed because it was eaten
K1,737,5,8,HPO,761,Y,2024-03-20,9:18,2024-03-21,15:04,0,,Y,Ferne,Ferne,N,2024-03-28,8:38,"Plant left open this morning! Anthers were eaten, but style was fine. Forgot to clean the style."
K1,738,2,7,HPO,765,Y,2024-03-20,9:24,2024-03-21,16:05,0,7,Y,Mike,Ferne,N,2024-03-28,13:50,Flower fell off
K3,744,2,6,HPO,766,N ,2024-03-20,9:38,2024-03-21,15:57,0,,Y,Ferne,Ferne,N,2024-03-25,10:07,
K2,739,4,8,HPO,753,Y,2024-03-21,9:00,2024-03-22,16:53,0,,Y,Ferne,Ferne,N,2024-03-25,9:31,
K2,742,1,5,HPO,767,N,2024-03-21,9:04,2024-03-22,16:54,0,,Y,Ferne,Ferne,N,2024-03-25,9:39,
K2,750,1,5,HPO,758,Y,2024-03-21,9:10,2024-03-22,16:55,0,5,Y,Ferne,Ferne,N,2024-03-25,9:43,
K2,800,7,8,HPO,758,Y,2024-03-21,9:44,2024-03-22,16:57,0,6,Y,Ferne,Ferne,N,2024-03-28,8:56,
K3,744,5,6,HPO,762,Y,2024-03-21,9:22,2024-03-22,17:00,0,,Y,Ferne,Ferne,N,2024-03-28,9:01,
K3,746,1,4,HPO,767,N,2024-03-21,9:27,2024-03-22,17:00,0,,Y,Ferne,Ferne,N,2024-03-25,10:11,
K3,749,2,3,HPO,753,Y,2024-03-21,9:33,2024-03-22,17:01,0,0,Y,Ferne,Ferne,N,2024-03-25,10:20,Style eaten and was hard to find
K1,732,2,7,HPO,758,Y,2024-03-22,9:32,2024-03-23,15:56,0,,Y,Ferne,Ferne,N,2024-03-28,8:19,Lots of mites
