Patch,Plant_ID,Bract_Num,Bract_Total,Treatment,Pollen_Donor,PD_Covered,Poll_Date,Poll_Time,Coll_Date,Coll_Time,Damage,Num_Above_Tape,Style_Collected,Applier_Technique,Applier_Pollen,Killed,Closed_Date,Closed_Time,Notes
K1,735,2,5,NE,758,Y,2024-03-21,8:37,2024-03-22,16:48,0,,Y,Mike,Ferne,N,2024-03-25,8:49,
K1,737,6,8,NE,758,Y,2024-03-21,8:50,2024-03-22,16:51,0,,Y,Mike,Ferne,N,2024-03-25,9:12,Anthers look a bit old and black
K2,739,8,8,NE,762,Y,2024-03-21,9:02,2024-03-22,16:53,0,,Y,Mike,Ferne,N,2024-03-25,9:32,
K2,750,5,5,NE,762,Y,2024-03-21,10:00,2024-03-22,8:53,0,0,Y,Mike,Ferne,N,2024-03-25,9:47,Not much pollen left to apply to this flower. Flower fell off early and was collected early.
K1,732,7,7,NE,758,Y,2024-03-22,9:38,2024-03-23,15:59,1,,Y,Mike,Ferne,N,2024-03-25,8:25,
K1,736,7,9,NE,762,Y,2024-03-22,9:16,2024-03-23,15:53,1,,Y,Mike,Ferne,N,2024-03-25,8:56,
K1,738,1,7,NE,758,Y,2024-03-22,9:06,N/A,N/A,N/A,,N,Mike,Ferne,N,2024-03-28,8:39,Nectar came out of flower. Flower completely brown. Style missing.
K2,741,2,4,NE,761,Y,2024-03-22,8:46,2024-03-23,15:42,0,,Y,Mike,Ferne,N,2024-03-25,9:33,
K2,742,3,5,NE,769,N,2024-03-22,8:49,2024-03-23,15:44,0,,Y,Mike,Ferne,N,2024-03-25,9:39,
K3,746,3,4,NE,762,Y,2024-03-22,8:32,2024-03-23,15:35,1,0,Y,Mike,Ferne,N,2024-03-28,9:03,
K3,749,1,3,NE,766,N,2024-03-22,8:37,2024-03-23,15:36,2,,Y,Mike,Ferne,N,2024-03-28,14:11,
K1,738,5,7,NE,758,Y,2024-03-23,9:04,2024-03-24,15:18,1,,Y,Mike,Ferne,N,2024-03-28,8:45,
K2,750,5,5,NE,758,Y,2024-03-23,8:33,2024-03-24,15:30,0,,Y,Mike,Ferne,N,2024-03-25,9:47,
K2,800,3,8,NE,767,N,2024-03-23,8:28,2024-03-24,15:33,0,19,Y,Mike,Ferne,N,2024-03-25,9:53,Went in and out 2 times. Anthers were black.
K3,744,3,6,NE,768,N,2024-03-23,8:53,2024-03-24,15:35,0,,Y,Mike,Ferne,N,2024-03-28,8:59,Delay between extraction and pollination (~20 mins)
K3,746,3,4,NE,767,N,2024-03-23,8:58,2024-03-24,15:37,0,,Y,Mike,Ferne,N,2024-03-28,9:03,
Mike,740,5,5,NE,758,Y,2024-03-23,9:39,2024-03-24,15:39,0,5,Y,Mike,Ferne,N,2024-03-25,10:35,
K1,738,1,7,NE,769,N,2024-03-25,9:15,2024-03-26,16:42,0,,Y,Mike,Ferne,N,2024-03-28,8:39,Nectar left over
K1,738,5,7,NE,762,Y,2024-03-25,9:20,2024-03-26,16:43,1,,Y,Mike,Ferne,N,2024-03-28,8:45,
K3,744,3,6,NE,758,Y,2024-03-25,10:01,2024-03-26,16:50,1,,Y,Mike,Ferne,N,2024-03-28,8:59,Accidentally added flagging tape then removed it. Flowers from B3 and B5 both fell off and might have been mixed up. We took the best guess as to which was which. 
K3,746,3,4,NE,766,N,2024-03-25,10:14,2024-03-26,16:52,0,,Y,Mike,Ferne,N,2024-03-28,9:03,
K3,749,1,4,NE,758,Y,2024-03-25,10:18,2024-03-26,16:53,0,,Y,Mike,Ferne,N,2024-03-28,14:11,
K1,798,3,4,NE,762,Y,2024-03-26,9:13,2024-03-28,13:35,0,7,Y,Mike,Ferne,N,2024-03-28,13:38,Style eaten
K1,799,7,7,NE,753,Y,2024-03-26,9:06,2024-03-28,13:31,2,0,Y,Mike,Ferne,N,2024-03-28,13:38,
K2,748,3,4,NE,758,Y,2024-03-26,9:45,2024-03-28,13:55,0,0,Y,Mike,Ferne,N,2024-03-28,13:56,
K2,800,2,8,NE,753,Y,2024-03-26,9:54,2024-03-28,13:59,0,2,Y,Mike,Ferne,N,2024-03-28,14:02,
K3,747,3,4,NE,765,Y,2024-03-27,8:12,2024-03-28,14:06,1,0,Y,Mike,Ferne,N,2024-03-28,14:09,
K3,749,1,4,NE,768,N,2024-03-27,8:15,2024-03-28,14:09,0,,Y,Mike,Ferne,N,2024-03-28,14:11,
