patch,plant_id,bract,treatment,pollen_donor,poll_date,poll_time,num_above_tape,nectar_source,coll_date,coll_time,donor_state,removed,notes
K1,551,2,SW,546,14-Mar,9:20:00 AM,N/A,N/A,15-Mar,3:12,covered,N,
K1,557,4,NN,527,14-Mar,9:22:00 AM,N/A,N/A,15-Mar,3:13,covered,N,
tinamu,561,4,NN,556,15-Mar,5:27:00 AM,N/A,556,16-Mar,3:18,covered,N,
tinamu,564,2,N,531,15-Mar,5:34:00 AM,1,556,16-Mar,3:19,covered,N,
old_pots,547,3,SW,556,15-Mar,5:41:00 AM,13,N/A,16-Mar,3:14,covered,N,
KT,770,1,ND,531,15-Mar,5:46:00 AM,N/A,N/A,16-Mar,3:11,covered,N,
KT,770,4,ND,556,15-Mar,5:48:00 AM,N/A,N/A,16-Mar,3:12,covered,N,
KT,770,6,NN,531,15-Mar,5:50:00 AM,N/A,N/A,16-Mar,3:12,covered,N,
K3,528,2,N,556,15-Mar,5:55:00 AM,N/A,531,16-Mar,2:52,covered,N,Not so much nectar
K3,528,6,SW,531,15-Mar,5:57:00 AM,N/A,N/A,16-Mar,2:53,covered,N,Style stuck to fruit
K3,554,2,SW,556,15-Mar,6:06:00 AM,N/A,N/A,16-Mar,2:55,covered,N,Bract left open | Style stuck to fruit
K3,554,6,ND,531,15-Mar,6:09:00 AM,N/A,N/A,16-Mar,2:55,covered,N,Fruit of one bad flower removed
K3,529,3,SW,556,15-Mar,6:12:00 AM,N/A,N/A,16-Mar,2:51,covered,N,
K3,553,6,ND,531,15-Mar,6:21:00 AM,9,N/A,16-Mar,2:49,covered,N,
K3,553,2,NN,556,15-Mar,6:23:00 AM,N/A,N/A,16-Mar,2:50,covered,N,
K3,537,2,Ctrl,N/A,15-Mar,6:24:00 AM,N/A,N/A,16-Mar,2:56,covered,N,
K3,537,5,Ctrl,N/A,15-Mar,6:24:00 AM,N/A,N/A,16-Mar,2:57,covered,N,
K2,555,4,Ctrl,N/A,15-Mar,6:27:00 AM,N/A,N/A,16-Mar,2:57,covered,N,
K2,558,1,ND,N/A,15-Mar,6:31:00 AM,N/A,N/A,16-Mar,2:58,covered,N,
K2,558,3,ND,556,15-Mar,6:33:00 AM,N/A,N/A,16-Mar,2:59,covered,N,
K2,536,1,NN,527,15-Mar,6:20:00 AM,N/A,N/A,16-Mar,3:01,covered,N,
K2,536,3,N,556,15-Mar,6:23:00 AM,N/A,565,16-Mar,3:02,covered,N,
K2,533,3,Ctrl,N/A,15-Mar,6:31:00 AM,2,N/A,16-Mar,3:00,covered,N,
K2,533,5,Ctrl,N/A,15-Mar,6:31:00 AM,0,N/A,16-Mar,3:00,covered,N,
K1,530,2,N,556,15-Mar,5:32:00 AM,N/A,556,16-Mar,3:03,covered,N,
K1,534,2,Ctrl,N/A,15-Mar,5:38:00 AM,N/A,N/A,16-Mar,3:03,covered,N,
K1,545,1,NN,527,15-Mar,5:41:00 AM,N/A,N/A,16-Mar,3:05,covered,N,
K1,545,3,SW,556,15-Mar,5:46:00 AM,N/A,N/A,16-Mar,3:06,covered,N,
K1,545,4,ND,527,15-Mar,5:52:00 AM,N/A,N/A,16-Mar,3:06,covered,N,
K1,551,3,SW,556,15-Mar,5:56:00 AM,N/A,N/A,16-Mar,3:06,covered,N,
K1,557,1,ND,527,15-Mar,6:00:00 AM,N/A,N/A,16-Mar,3:07,covered,N,
K1,557,3,N,556,15-Mar,6:08:00 AM,N/A,565,16-Mar,3:07,covered,N,
K1,559,3,Ctrl,N/A,15-Mar,6:10:00 AM,N/A,N/A,16-Mar,3:08,covered,N,
K1,550,3,Ctrl,N/A,15-Mar,6:12:00 AM,N/A,N/A,16-Mar,3:09,covered,N,
tower,526,1,SW,548,16-Mar,7:25:00 AM,N/A,N/A,17-Mar,1:14,covered,N,
tower,526,3,NN,531,16-Mar,7:27:00 AM,N/A,N/A,17-Mar,1:15,covered,N,
tower,526,4,ND,546,16-Mar,7:30:00 AM,N/A,N/A,17-Mar,1:16,covered,N,
tower,526,5,N,566,16-Mar,7:32:00 AM,N/A,527,17-Mar,1:16,covered,N,
tinamu,561,3,SW,527,16-Mar,7:39:00 AM,N/A,N/A,17-Mar,1:19,covered,N,
tinamu,561,5,N,548,16-Mar,7:42:00 AM,0,546,17-Mar,1:19,covered,N,
KT,770,5,SW,531,16-Mar,7:51:00 AM,N/A,N/A,17-Mar,1:23,covered,N,Style stuck to fruit
K3,528,7,NN,546,16-Mar,7:55:00 AM,N/A,N/A,17-Mar,1:25,covered,N,Style stuck to fruit
K3,554,8,NN,566,16-Mar,7:58:00 AM,N/A,N/A,17-Mar,1:26,covered,N,
K3,553,5,N,527,16-Mar,8:02:00 AM,7,548,17-Mar,1:27,covered,N,Terrible plant
K3,529,1,NN,531,16-Mar,8:05:00 AM,N/A,N/A,17-Mar,1:27,covered,N,
K3,529,2,N,546,16-Mar,8:08:00 AM,N/A,566,17-Mar,1:28,covered,N,
K3,538,3,NN,566,16-Mar,8:12:00 AM,N/A,N/A,17-Mar,1:29,covered,N,Covered in aphids
K2,532,4,N,527,16-Mar,8:17:00 AM,N/A,531,17-Mar,1:30,covered,N,
K2,536,2,ND,531,16-Mar,8:21:00 AM,N/A,N/A,17-Mar,1:31,covered,N,
K2,536,4,SW,546,16-Mar,8:24:00 AM,1,N/A,17-Mar,1:31,covered,N,
K2,558,2,N,566,16-Mar,8:27:00 AM,N/A,N/A,17-Mar,1:32,covered,N,
K2,558,4,NN,527,16-Mar,8:29:00 AM,N/A,N/A,17-Mar,1:32,covered,N,
K2,558,5,SW,531,16-Mar,8:31:00 AM,N/A,N/A,17-Mar,1:33,covered,N,
K2,558,7,NN,546,16-Mar,8:33:00 AM,0,N/A,17-Mar,1:34,covered,N,
K1,535,1,SW,566,16-Mar,8:37:00 AM,N/A,N/A,17-Mar,1:35,covered,N,
K1,535,5,ND,527,16-Mar,8:39:00 AM,N/A,N/A,17-Mar,1:35,covered,N,
K1,535,6,ND,531,16-Mar,8:41:00 AM,N/A,N/A,17-Mar,1:35,covered,N,
K1,535,7,SW,546,16-Mar,8:44:00 AM,N/A,N/A,17-Mar,1:36,covered,N,1 fruit/flower removed
K1,534,3,Ctrl,N/A,16-Mar,8:45:00 AM,N/A,N/A,17-Mar,1:37,covered,N,Empty nectar chamber
K1,550,2,Ctrl,N/A,16-Mar,8:46:00 AM,N/A,N/A,17-Mar,1:37,covered,N,
K1,550,5,Ctrl,N/A,16-Mar,8:46:00 AM,0,N/A,17-Mar,1:38,covered,N,
K1,545,2,N,566,16-Mar,8:49:00 AM,N/A,548,17-Mar,1:38,covered,N,
K1,551,1,NN,527,16-Mar,8:51:00 AM,N/A,N/A,17-Mar,1:39,covered,N,
K1,557,2,SW,531,16-Mar,8:55:00 AM,5,N/A,17-Mar,1:40,covered,N,
K1,559,6,Ctrl,N/A,16-Mar,8:56:00 AM,N/A,N/A,17-Mar,1:41,covered,N,
tower,526,2,N,548,17-Mar,7:40:00 AM,N/A,527,18-Mar,3:50,covered,N,
old_pots,547,4,NN,556,17-Mar,7:48:00 AM,N/A,N/A,18-Mar,3:41,covered,N,
KT,770,7,N,546,17-Mar,7:52:00 AM,N/A,531,18-Mar,3:38,covered,N,
K3,528,4,ND,527,17-Mar,7:57:00 AM,N/A,N/A,18-Mar,2:44,covered,N,Removed 1 fruit
K3,528,1,ND,531,17-Mar,8:00:00 AM,N/A,N/A,18-Mar,2:45,covered,N,Empty nectar chamber
K3,554,1,NN,556,17-Mar,8:03:00 AM,N/A,N/A,18-Mar,2:49,covered,N,Style stuck to fruit
K3,554,4,N,546,17-Mar,8:09:00 AM,N/A,556,18-Mar,2:51,covered,N,
K3,554,5,SW,527,17-Mar,8:12:00 AM,11,N/A,18-Mar,2:52,covered,N,
K3,553,4,SW,531,17-Mar,8:15:00 AM,N/A,N/A,18-Mar,2:54,covered,N,
K3,529,4,ND,556,17-Mar,8:19:00 AM,11,N/A,N/A,N/A,covered,N,Lost flower
K3,567,1,N,546,17-Mar,8:23:00 AM,0,548,18-Mar,2:58,covered,N,
K3,538,4,SW,527,17-Mar,8:27:00 AM,N/A,N/A,18-Mar,3:00,covered,N,Ugly flower
K2,532,1,SW,531,17-Mar,8:31:00 AM,N/A,N/A,18-Mar,3:02,covered,N,
K2,532,2,NN,556,17-Mar,8:33:00 AM,N/A,N/A,18-Mar,3:03,covered,N,
K2,532,3,NN,546,17-Mar,8:35:00 AM,N/A,N/A,18-Mar,3:04,covered,N,
K2,532,5,ND,527,17-Mar,8:37:00 AM,N/A,N/A,18-Mar,3:05,covered,N,
K2,533,2,Ctrl,N/A,17-Mar,8:38:00 AM,N/A,N/A,18-Mar,3:07,covered,N,
K2,533,4,Ctrl,N/A,17-Mar,8:38:00 AM,N/A,N/A,18-Mar,3:09,covered,N,
K2,552,1,Ctrl,N/A,17-Mar,8:39:00 AM,N/A,N/A,N/A,N/A,covered,N,"Removed, but there are 4 in the bract, so maybe it wasn't actually removed? It must have been added back"
K2,552,3,Ctrl,N/A,17-Mar,8:39:00 AM,N/A,N/A,N/A,N/A,covered,N,"Removed, but there are 3 in the bract, so maybe it wasn't actually removed? It must have been added back"
K2,543,2,NN,531,17-Mar,8:41:00 AM,N/A,N/A,18-Mar,3:11,covered,N,
K2,543,5,ND,556,17-Mar,8:43:00 AM,N/A,N/A,18-Mar,3:12,covered,N,
K2,536,5,N,546,17-Mar,8:46:00 AM,0,531,18-Mar,3:14,covered,N,
K2,555,1,Ctrl,N/A,17-Mar,8:47:00 AM,N/A,N/A,N/A,N/A,covered,N,"Accidentally removed, then it must have been added back"
K2,558,3,ND,527,17-Mar,8:49:00 AM,N/A,N/A,18-Mar,3:17,covered,N,
K2,558,6,N,531,17-Mar,8:51:00 AM,N/A,556,18-Mar,3:18,covered,N,Nectar source from 546 and 556
K2,560,2,Ctrl,N/A,17-Mar,8:52:00 AM,22,N/A,18-Mar,3:19,covered,N,
K1,530,1,SW,531,17-Mar,8:11:00 AM,N/A,N/A,18-Mar,3:21,covered,N,
K1,530,3,ND,556,17-Mar,8:15:00 AM,N/A,N/A,18-Mar,3:22,covered,N,
K1,530,4,NN,531,17-Mar,8:17:00 AM,N/A,N/A,18-Mar,3:22,covered,N,
K1,534,1,Ctrl,N/A,17-Mar,8:20:00 AM,N/A,N/A,18-Mar,3:26,covered,N,
K1,534,5,Ctrl,N/A,17-Mar,8:20:00 AM,N/A,N/A,18-Mar,3:27,covered,N,
K1,535,2,N,556,17-Mar,8:22:00 AM,N/A,548,18-Mar,3:24,covered,N,
K1,557,4,NN,531,17-Mar,8:29:00 AM,N/A,N/A,18-Mar,3:32,covered,N,
K1,559,1,Ctrl,N/A,17-Mar,8:31:00 AM,N/A,N/A,18-Mar,3:35,covered,N,
K1,550,1,Ctrl,N/A,17-Mar,8:32:00 AM,N/A,N/A,18-Mar,3:29,covered,N,
K1,550,4,Ctrl,N/A,17-Mar,8:34:00 AM,2,N/A,18-Mar,3:30,covered,N,
tower,541,3,ND,566,18-Mar,7:52:00 AM,0,N/A,19-Mar,2:55,covered,N,
tinamu,561,4,NN,556,18-Mar,8:01:00 AM,N/A,N/A,19-Mar,2:47,covered,N,
tinamu,561,5,N,531,18-Mar,8:04:00 AM,N/A,527,19-Mar,2:48,covered,N,
old_pots,547,6,SW,546,18-Mar,8:14:00 AM,N/A,N/A,19-Mar,2:40,covered,N,
KT,770,2,N,527,18-Mar,8:36:00 AM,N/A,546,19-Mar,2:31,covered,N,
KT,770,3,NN,556,18-Mar,8:39:00 AM,N/A,N/A,19-Mar,2:31,covered,N,
KT,770,6,NN,566,18-Mar,8:37:00 AM,N/A,N/A,19-Mar,2:31,covered,N,
K3,528,6,SW,531,18-Mar,8:49:00 AM,N/A,N/A,19-Mar,1:13,covered,N,
K3,528,7,NN,546,18-Mar,8:51:00 AM,N/A,N/A,19-Mar,1:15,covered,N,
K3,554,3,N,527,18-Mar,9:00:00 AM,N/A,566,19-Mar,1:20,covered,N,Lots of nectar placed on stigma
K3,553,2,NN,556,18-Mar,9:07:00 AM,N/A,N/A,19-Mar,1:24,covered,N,
K3,529,3,SW,556,18-Mar,9:14:00 AM,N/A,N/A,19-Mar,1:27,covered,N,
K3,529,5,N,531,18-Mar,9:17:00 AM,N/A,556,19-Mar,1:26,covered,N,
K3,537,2,Ctrl,N/A,18-Mar,9:25:00 AM,N/A,N/A,19-Mar,1:35,covered,N,
K3,538,3,NN,546,18-Mar,9:29:00 AM,N/A,N/A,19-Mar,1:37,covered,N,Dark anthers
K3,538,5,ND,527,18-Mar,9:33:00 AM,2,N/A,19-Mar,1:38,covered,N,Terrible flower upon collection
K2,533,3,Ctrl,N/A,18-Mar,9:40:00 AM,N/A,N/A,19-Mar,1:43,covered,Y,Accidentally removed
K2,533,5,Ctrl,N/A,18-Mar,9:40:00 AM,N/A,N/A,19-Mar,1:45,covered,N,
K2,543,1,SW,566,18-Mar,9:46:00 AM,N/A,N/A,19-Mar,1:47,covered,N,
K2,536,1,NN,531,18-Mar,9:48:00 AM,N/A,N/A,19-Mar,1:48,covered,N,
K2,536,3,N,556,18-Mar,9:51:00 AM,N/A,531,19-Mar,1:49,covered,N,
K2,558,1,ND,546,18-Mar,10:00:00 AM,N/A,N/A,19-Mar,1:52,covered,N,
K2,558,4,NN,527,18-Mar,10:02:00 AM,N/A,N/A,19-Mar,1:52,covered,N,
K1,535,4,N,566,18-Mar,10:16:00 AM,N/A,546,19-Mar,1:57,covered,N,
K1,534,2,Ctrl,N/A,18-Mar,10:25:00 AM,N/A,N/A,19-Mar,2:00,covered,N,
K1,550,3,Ctrl,N/A,18-Mar,10:28:00 AM,N/A,N/A,19-Mar,2:01,covered,N,
K1,550,5,Ctrl,N/A,18-Mar,10:28:00 AM,N/A,N/A,19-Mar,2:02,covered,N,
K1,545,4,ND,556,18-Mar,10:32:00 AM,N/A,N/A,19-Mar,2:04,covered,N,
K1,557,1,ND,531,18-Mar,10:42:00 AM,N/A,N/A,19-Mar,2:08,covered,N,
K2,536,2,ND,566,19-Mar,9:10:00 AM,N/A,N/A,20-Mar,3:06,covered,N,
K1,551,6,ND,566,19-Mar,9:20:00 AM,9,N/A,20-Mar,3:05,covered,N,Removed row of fruits before it | Went in twice with the bill
K2,558,3,ND,531,20-Mar,8:15:00 AM,N/A,N/A,21-Mar,11:02,covered,N,
K2,558,5,SW,531,20-Mar,8:17:00 AM,N/A,N/A,21-Mar,11:03,covered,N,
K2,558,6,N,531,20-Mar,8:19:00 AM,N/A,531,21-Mar,11:03,covered,N,Lots of nectar
K1,551,1,NN,531,20-Mar,8:22:00 AM,N/A,N/A,21-Mar,10:18,covered,N,
K1,551,4,ND,531,20-Mar,8:24:00 AM,N/A,N/A,21-Mar,10:20,covered,N,Lots of nectar in target flower
K1,551,5,N,531,20-Mar,8:25:00 AM,N/A,531,21-Mar,10:21,covered,N,
K2,533,3,Ctrl,N/A,21-Mar,11:24:00 AM,N/A,N/A,N/A,N/A,N/A,N,
