patch,plant_id,bract,treatment,pollen_donor,poll_date,poll_time,num_above_tape,nectar_source,coll_date,coll_time,donor_state,removed,notes
K3,554,8,NN,556,08-Mar,9:44:00 AM,8,N/A,09-Mar,3:19,covered,N,Flower doesn't have pollen
K3,529,5,N,526,08-Mar,9:51:00 AM,7,527,09-Mar,3:16,covered,N,
K3,537,1,Ctrl,N/A,08-Mar,9:52:00 AM,N/A,N/A,09-Mar,3:20,covered,N,
K3,537,5,Ctrl,N/A,08-Mar,9:54:00 AM,2,N/A,09-Mar,3:21,covered,N,
K3,538,2,ND,556,08-Mar,10:00:00 AM,4,N/A,09-Mar,3:22,covered,N,
K2,558,5,SW,527,08-Mar,10:07:00 AM,0,N/A,09-Mar,3:25,covered,N,
tinamu,544,2,N,531,09-Mar,7:48:00 AM,4,541,10-Mar,1:26,covered,N,
tinamu,561,3,SW,548,09-Mar,7:56:00 AM,0,N/A,10-Mar,2:07,covered,N,Inflorescence is warped
tinamu,561,3,SW,541,09-Mar,7:58:00 AM,0,N/A,10-Mar,2:07,covered,N,There were two open flowers in the same bract
old_pots,774,2,ND,527,09-Mar,8:11:00 AM,15,N/A,10-Mar,2:12,covered,N,
old_pots,774,6,N,548,09-Mar,8:18:00 AM,10,531,10-Mar,2:12,covered,N,Used to be HP
old_pots,774,8,SW,531,09-Mar,8:24:00 AM,6,N/A,10-Mar,2:13,covered,N,
KT,770,4,ND,548,09-Mar,8:31:00 AM,11,N/A,10-Mar,2:15,covered,N,
KT,770,6,NN,527,09-Mar,8:36:00 AM,9,N/A,10-Mar,2:15,covered,N,
K1,535,1,SW,541,09-Mar,8:41:00 AM,N/A,N/A,10-Mar,2:19,covered,N,
K1,535,2,N,531,09-Mar,8:48:00 AM,18,548,10-Mar,2:20,covered,N,Used to be SD
K1,535,4,N,527,09-Mar,8:53:00 AM,N/A,548,10-Mar,2:20,covered,N,
K1,535,6,ND,541,09-Mar,8:56:00 AM,6,N/A,10-Mar,2:21,covered,N,
K1,534,2,Ctrl,N/A,09-Mar,8:59:00 AM,4,N/A,10-Mar,2:22,covered,N,
K1,534,4,Ctrl,N/A,09-Mar,8:58:00 AM,N/A,N/A,10-Mar,2:22,covered,N,
K1,545,1,NN,531,09-Mar,9:04:00 AM,N/A,N/A,10-Mar,2:24,covered,N,Tip of stigma is dark
K1,551,5,N,527,09-Mar,9:10:00 AM,10,551,10-Mar,2:25,covered,N,527 has moist pollen
K1,557,1,ND,531,09-Mar,9:17:00 AM,8,N/A,10-Mar,2:26,covered,N,
K2,532,3,NN,541,09-Mar,9:21:00 AM,N/A,N/A,10-Mar,2:27,covered,N,
K2,533,1,Ctrl,N/A,09-Mar,9:22:00 AM,4,N/A,10-Mar,2:28,covered,N,
K2,552,3,Ctrl,N/A,09-Mar,9:24:00 AM,2,N/A,10-Mar,2:29,covered,N,
K2,536,1,NN,531,09-Mar,9:26:00 AM,N/A,N/A,10-Mar,2:30,covered,N,
K3,528,6,SW,541,09-Mar,9:31:00 AM,N/A,N/A,10-Mar,2:32,covered,N,
K3,538,1,N,541,09-Mar,9:38:00 AM,N/A,551,10-Mar,2:33,covered,N,
K2,555,2,Ctrl,N/A,09-Mar,9:40:00 AM,17,N/A,N/A,N/A,covered,N,Lost flower
K2,558,1,ND,531,09-Mar,9:44:00 AM,6,N/A,10-Mar,2:31,covered,N,
K1,534,1,Ctrl,N/A,09-Mar,9:45:00 AM,N/A,N/A,10-Mar,2:22,covered,N,
old_pots,547,4,NN,546,10-Mar,8:08:00 AM,9,N/A,11-Mar,2:48,covered,N,"Bad flower, ugly, has no pollen"
KT,770,5,SW,548,10-Mar,8:12:00 AM,N/A,N/A,11-Mar,2:44,covered,N,
K1,530,1,SW,526,10-Mar,8:22:00 AM,N/A,N/A,11-Mar,1:59,covered,N,
K1,530,3,ND,527,10-Mar,8:23:00 AM,N/A,N/A,11-Mar,2:00,covered,N,
K1,530,4,NN,527,10-Mar,8:24:00 AM,9,N/A,11-Mar,2:00,covered,N,Used to be SD
K1,545,3,SW,556,10-Mar,8:32:00 AM,N/A,N/A,11-Mar,2:01,covered,N,
K1,545,4,ND,546,10-Mar,8:34:00 AM,5,N/A,11-Mar,2:01,covered,N,Used to be SD
K1,551,4,ND,526,10-Mar,8:37:00 AM,N/A,N/A,11-Mar,2:02,covered,N,
K1,557,3,N,527,10-Mar,8:41:00 AM,5,548,11-Mar,2:04,covered,N,
K2,532,4,N,556,10-Mar,8:49:00 AM,7,546,11-Mar,1:54,covered,N,
K2,532,5,ND,546,10-Mar,8:50:00 AM,N/A,N/A,11-Mar,1:54,covered,N,
K2,532,6,SW,527,10-Mar,8:52:00 AM,4,N/A,11-Mar,1:55,covered,N,
K2,536,2,ND,556,10-Mar,8:55:00 AM,N/A,N/A,11-Mar,1:57,covered,N,
K2,536,3,N,546,10-Mar,8:59:00 AM,0,527,11-Mar,1:57,covered,N,
K2,555,4,Ctrl,N/A,10-Mar,9:01:00 AM,10,N/A,11-Mar,1:52,covered,N,
K2,558,4,NN,526,10-Mar,9:04:00 AM,2,N/A,11-Mar,1:53,covered,N,
K3,554,1,NN,556,10-Mar,9:08:00 AM,21,N/A,11-Mar,1:49,covered,N,Bract has ripe fruit
K3,554,4,N,526,10-Mar,9:14:00 AM,12,556,11-Mar,1:50,covered,N,
K3,553,4,SW,527,10-Mar,9:17:00 AM,5,N/A,11-Mar,1:47,covered,N,
K3,529,1,NN,556,10-Mar,9:20:00 AM,N/A,N/A,11-Mar,1:48,covered,N,
K3,529,2,N,546,10-Mar,9:25:00 AM,10,548,11-Mar,9:27,covered,N,Used to be HP
K3,537,2,Ctrl,N/A,10-Mar,9:26:00 AM,N/A,N/A,11-Mar,1:57,covered,N,
K3,538,3,NN,546,10-Mar,9:29:00 AM,2,N/A,11-Mar,1:51,covered,N,
K1,559,1,Ctrl,N/A,10-Mar,9:34:00 AM,18,N/A,11-Mar,2:49,covered,N,
K1,559,4,Ctrl,N/A,10-Mar,9:35:00 AM,9,N/A,11-Mar,2:49,covered,N,
K1,559,5,Ctrl,N/A,10-Mar,9:37:00 AM,11,N/A,11-Mar,2:50,covered,N,
tower,526,2,N,531,11-Mar,7:26:00 AM,8,526,12-Mar,1:23,covered,N,
tower,526,4,ND,548,11-Mar,7:30:00 AM,6,N/A,12-Mar,1:24,covered,N,
old_pots,774,7,NN,526,11-Mar,7:46:00 AM,9,N/A,12-Mar,1:33,covered,N,
old_pots,774,9,SW,548,11-Mar,7:50:00 AM,5,N/A,12-Mar,1:35,covered,N,Brown anthers
old_pots,547,6,SW,531,11-Mar,7:56:00 AM,N/A,N/A,12-Mar,1:36,covered,N,Brown anthers | One bad flower removed
old_pots,547,7,ND,548,11-Mar,8:01:00 AM,N/A,N/A,12-Mar,1:38,covered,N,Brown anthers
KT,770,2,N,526,11-Mar,8:12:00 AM,N/A,531,12-Mar,1:43,covered,N,
KT,770,3,NN,531,11-Mar,8:13:00 AM,N/A,N/A,12-Mar,1:44,covered,N,
KT,770,6,NN,548,11-Mar,8:14:00 AM,N/A,N/A,12-Mar,1:45,covered,N,Had a flower yesterday
KT,770,7,N,531,11-Mar,8:19:00 AM,10,548,12-Mar,1:47,covered,N,
K1,530,2,N,526,11-Mar,8:35:00 AM,N/A,548,12-Mar,1:51,covered,N,
K1,534,1,Ctrl,N/A,11-Mar,8:37:00 AM,N/A,N/A,12-Mar,2:00,covered,N,
K1,534,3,Ctrl,N/A,11-Mar,8:37:00 AM,N/A,N/A,12-Mar,2:03,covered,N,
K1,534,5,Ctrl,N/A,11-Mar,8:38:00 AM,0,N/A,12-Mar,2:04,covered,N,Brown anthers
K1,550,2,Ctrl,N/A,11-Mar,8:38:00 AM,N/A,N/A,12-Mar,2:06,covered,N,
